PVZ_VS_STRATEGY_DB|1
# side|seed|phase|own_economy_bucket|opponent_units_bucket|own_lane_units_bucket|opponent_lane_units_bucket|bonus|samples
plants|0|1|-1|-1|-1|-1|62|7
plants|0|2|-1|-1|-1|-1|26|1
plants|1|0|-1|-1|-1|-1|65|13
plants|1|1|-1|-1|-1|-1|65|44
plants|1|2|-1|-1|-1|-1|50|5
plants|2|1|-1|-1|-1|-1|32|2
plants|3|1|-1|-1|-1|-1|65|16
plants|5|1|-1|-1|-1|-1|65|14
plants|5|2|-1|-1|-1|-1|32|2
plants|7|1|-1|-1|-1|-1|62|7
plants|9|0|-1|-1|-1|-1|32|2
plants|9|1|-1|-1|-1|-1|65|32
plants|17|1|-1|-1|-1|-1|65|11
plants|17|2|-1|-1|-1|-1|38|3
plants|22|1|-1|-1|-1|-1|32|2
plants|22|2|-1|-1|-1|-1|32|2
plants|29|1|-1|-1|-1|-1|56|6
plants|30|1|-1|-1|-1|-1|44|4
plants|30|2|-1|-1|-1|-1|26|1
plants|32|1|-1|-1|-1|-1|38|3
plants|32|2|-1|-1|-1|-1|26|1
plants|35|1|-1|-1|-1|-1|65|13
plants|200|1|-1|-1|-1|-1|44|4
plants|200|2|-1|-1|-1|-1|32|2
plants|202|1|-1|-1|-1|-1|65|17
plants|202|2|-1|-1|-1|-1|26|1
plants|204|1|-1|-1|-1|-1|65|14
plants|206|1|-1|-1|-1|-1|65|10
plants|206|2|-1|-1|-1|-1|26|1
zombies|61|0|-1|-1|-1|-1|65|16
zombies|61|1|-1|-1|-1|-1|65|65
zombies|61|2|-1|-1|-1|-1|50|5
zombies|62|1|-1|-1|-1|-1|26|1
zombies|63|0|-1|-1|-1|-1|26|1
zombies|63|1|-1|-1|-1|-1|50|5
zombies|63|2|-1|-1|-1|-1|26|1
zombies|64|0|-1|-1|-1|-1|26|1
zombies|64|1|-1|-1|-1|-1|65|9
zombies|66|1|-1|-1|-1|-1|65|19
zombies|66|2|-1|-1|-1|-1|38|3
zombies|68|0|-1|-1|-1|-1|26|1
zombies|68|1|-1|-1|-1|-1|38|3
zombies|70|1|-1|-1|-1|-1|26|1
zombies|72|1|-1|-1|-1|-1|26|1
zombies|77|1|-1|-1|-1|-1|26|1
zombies|79|1|-1|-1|-1|-1|56|6
zombies|84|1|-1|-1|-1|-1|65|14
zombies|84|2|-1|-1|-1|-1|26|1
zombies|86|0|-1|-1|-1|-1|26|1
zombies|86|1|-1|-1|-1|-1|65|14
zombies|86|2|-1|-1|-1|-1|32|2
zombies|91|1|-1|-1|-1|-1|44|4
zombies|95|0|-1|-1|-1|-1|26|1
zombies|95|1|-1|-1|-1|-1|32|2
zombies|96|1|-1|-1|-1|-1|38|3
zombies|96|2|-1|-1|-1|-1|26|1
plants|0|1|2|3|1|1|26|2
plants|1|0|0|0|0|0|44|5
plants|1|0|1|0|0|0|44|5
plants|1|0|1|1|0|0|26|2
plants|1|1|2|0|1|0|32|3
plants|1|1|2|3|1|1|38|4
plants|1|1|3|0|1|0|26|2
plants|1|1|3|1|0|1|26|2
plants|1|1|3|1|1|0|50|6
plants|1|1|3|1|2|1|38|4
plants|1|1|3|2|1|1|50|6
plants|1|1|3|2|2|1|26|2
plants|1|1|3|3|2|1|32|3
plants|1|2|3|1|3|1|26|2
plants|3|1|2|1|2|1|26|2
plants|3|1|2|2|2|1|32|3
plants|3|1|3|1|1|0|26|2
plants|3|1|3|2|2|1|26|2
plants|5|1|2|2|2|1|38|4
plants|5|1|3|0|2|0|26|2
plants|7|1|3|0|1|0|26|2
plants|9|1|2|1|0|0|38|4
plants|9|1|3|1|1|0|44|5
plants|9|1|3|1|1|1|26|2
plants|9|1|3|1|2|0|32|3
plants|9|1|3|2|1|1|55|7
plants|9|1|3|2|2|1|26|2
plants|17|1|2|1|2|1|26|2
plants|17|1|2|2|2|1|26|2
plants|17|1|3|1|2|1|26|2
plants|35|1|3|1|2|0|32|3
plants|35|1|3|1|2|1|26|2
plants|35|1|3|1|3|1|32|3
plants|202|1|2|1|2|1|38|4
plants|202|1|2|2|2|1|38|4
plants|204|1|3|0|1|0|26|2
plants|204|1|3|1|1|0|38|4
plants|204|1|3|1|2|0|32|3
plants|206|1|2|1|2|1|26|2
plants|206|1|2|2|2|1|32|3
plants|206|1|3|2|1|1|26|2
zombies|61|0|0|0|0|0|38|4
zombies|61|0|1|1|0|0|32|3
zombies|61|0|1|1|0|1|38|4
zombies|61|0|1|2|0|1|26|2
zombies|61|1|2|3|0|1|50|6
zombies|61|1|2|3|0|2|32|3
zombies|61|1|2|3|1|1|38|4
zombies|61|1|3|3|0|0|26|2
zombies|61|1|3|3|0|1|55|12
zombies|61|1|3|3|0|2|55|15
zombies|61|1|3|3|0|3|26|2
zombies|61|1|3|3|1|0|26|2
zombies|61|1|3|3|1|1|55|7
zombies|61|1|3|3|1|2|55|8
zombies|61|2|2|3|1|3|26|2
zombies|63|1|3|3|0|1|26|2
zombies|64|1|3|3|0|1|38|4
zombies|64|1|3|3|0|2|38|4
zombies|66|1|1|3|0|2|32|3
zombies|66|1|3|3|0|1|26|2
zombies|66|1|3|3|0|2|50|6
zombies|66|1|3|3|0|3|26|2
zombies|66|2|3|3|0|2|26|2
zombies|79|1|3|3|0|0|26|2
zombies|84|1|3|3|0|1|26|2
zombies|84|1|3|3|0|2|38|4
zombies|84|1|3|3|1|1|32|3
zombies|86|1|3|3|0|2|32|3
zombies|86|1|3|3|1|0|26|2
zombies|86|1|3|3|1|2|38|4
